,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
53,lovely,"Billie Eilish",1335475,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
54,"Keanu Reeves",Logic,1333106,https://open.spotify.com/track/25F6MWrnFBCXVnpN4n76EK
55,"Taste (feat. Offset)",Tyga,1249814,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
56,"Promises (with Sam Smith)","Calvin Harris",1246927,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
57,Youngblood,"5 Seconds of Summer",1225869,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
58,"NI BIEN NI MAL","Bad Bunny",1204227,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8
59,"Bad Liar","Imagine Dragons",1203670,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
60,"no tears left to cry","Ariana Grande",1198527,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
61,"Let Me Down Slowly","Alec Benjamin",1190136,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
62,Imposible,"Luis Fonsi",1179482,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm
63,imagine,"Ariana Grande",1162970,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
64,"I Like It","Cardi B",1131485,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
65,"Te Vi","Piso 21",1130601,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
66,"Love Someone","Lukas Graham",1122404,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
67,"First Off (feat. Travis Scott)",Future,1117152,https://open.spotify.com/track/3WRIaWsws011vHMd9uzPjG
68,Money,"Cardi B",1110383,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
69,2002,Anne-Marie,1103865,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
70,"Someone You Loved","Lewis Capaldi",1100047,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
71,"God's Plan",Drake,1086869,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
72,"Solo de Mi","Bad Bunny",1085577,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR
73,"Jocelyn Flores",XXXTENTACION,1083860,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
74,"Con Calma","Daddy Yankee",1083799,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
75,"Ruin My Life","Zara Larsson",1081982,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
76,"Beautiful (feat. Camila Cabello)",Bazzi,1081921,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
77,"Startender (feat. Offset and Tyga)","A Boogie Wit da Hoodie",1079036,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb
78,"Vaina Loca",Ozuna,1078010,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
79,Natural,"Imagine Dragons",1072570,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
80,Bubalu,"Becky G",1058063,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb
