track_name,album,artists,duration_ms,episode,explicit,href,id,is_local,name,popularity,preview_url,track,track_number,type,uri,acousticness,analysis_url,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence
Teenage Minds,Teenage Minds,Jubël,187711,False,False,https://api.spotify.com/v1/tracks/5LVCtUQQOr1JmwdUufLaw7,5LVCtUQQOr1JmwdUufLaw7,False,Teenage Minds,0,https://p.scdn.co/mp3-preview/48f78b7967dda70ae555f60e585801a496fb19bc?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:5LVCtUQQOr1JmwdUufLaw7,0.548,https://api.spotify.com/v1/audio-analysis/5LVCtUQQOr1JmwdUufLaw7,0.755,0.606,0.0,2,0.128,-6.435,0,0.0313,101.003,4,https://api.spotify.com/v1/tracks/5LVCtUQQOr1JmwdUufLaw7,0.617
Tipsy (feat. RAYE),Tipsy (feat. RAYE),"Odunsi (The Engine), RAYE",208873,False,False,https://api.spotify.com/v1/tracks/5Wt7ngK753xBhSjb9lRfSR,5Wt7ngK753xBhSjb9lRfSR,False,Tipsy (feat. RAYE),0,https://p.scdn.co/mp3-preview/fe88eeeebb04cecdfe531752c5dea217ba0e5086?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:5Wt7ngK753xBhSjb9lRfSR,0.243,https://api.spotify.com/v1/audio-analysis/5Wt7ngK753xBhSjb9lRfSR,0.735,0.67,4.79e-06,8,0.326,-4.983,0,0.0562,90.007,4,https://api.spotify.com/v1/tracks/5Wt7ngK753xBhSjb9lRfSR,0.654
Insecure,Insecure,Svrcina,200000,False,False,https://api.spotify.com/v1/tracks/21bAZmgzIw13tN0rHtMeRq,21bAZmgzIw13tN0rHtMeRq,False,Insecure,0,https://p.scdn.co/mp3-preview/9780cdc817d1796158b6aa9b323841cfc93907c4?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:21bAZmgzIw13tN0rHtMeRq,0.353,https://api.spotify.com/v1/audio-analysis/21bAZmgzIw13tN0rHtMeRq,0.719,0.655,6.61e-06,6,0.0799,-5.153,1,0.0475,114.001,4,https://api.spotify.com/v1/tracks/21bAZmgzIw13tN0rHtMeRq,0.393
Crown,Crown,Kelly Rowland,197706,False,False,https://api.spotify.com/v1/tracks/5zbtiu1u9ysgafBbIZRyhE,5zbtiu1u9ysgafBbIZRyhE,False,Crown,24,,True,1,track,spotify:track:5zbtiu1u9ysgafBbIZRyhE,0.000561,https://api.spotify.com/v1/audio-analysis/5zbtiu1u9ysgafBbIZRyhE,0.62,0.743,0.00354,0,0.353,-6.382,1,0.175,188.037,4,https://api.spotify.com/v1/tracks/5zbtiu1u9ysgafBbIZRyhE,0.567
Spotless Mind,Spotless Mind,Sofia Karlberg,203133,False,False,https://api.spotify.com/v1/tracks/4Xw2tvPZrQZkekYTKArYbp,4Xw2tvPZrQZkekYTKArYbp,False,Spotless Mind,0,https://p.scdn.co/mp3-preview/927d80805c3f7955894399972356f23a2b329693?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:4Xw2tvPZrQZkekYTKArYbp,0.0597,https://api.spotify.com/v1/audio-analysis/4Xw2tvPZrQZkekYTKArYbp,0.702,0.468,4.63e-05,0,0.163,-9.346,1,0.217,159.934,4,https://api.spotify.com/v1/tracks/4Xw2tvPZrQZkekYTKArYbp,0.223
Why Don't We,Why Don't We,Austin Mahone,169893,False,False,https://api.spotify.com/v1/tracks/6hJ53PqujlNRKjXyWa4P6T,6hJ53PqujlNRKjXyWa4P6T,False,Why Don't We,21,,True,1,track,spotify:track:6hJ53PqujlNRKjXyWa4P6T,0.21,https://api.spotify.com/v1/audio-analysis/6hJ53PqujlNRKjXyWa4P6T,0.566,0.744,0.0,11,0.0737,-4.748,0,0.0771,113.372,4,https://api.spotify.com/v1/tracks/6hJ53PqujlNRKjXyWa4P6T,0.287
This Is How We Party (with Icona Pop),This Is How We Party (with Icona Pop),"R3HAB, Icona Pop",147605,False,False,https://api.spotify.com/v1/tracks/02rbSCTm2smTIZ6d8im2NP,02rbSCTm2smTIZ6d8im2NP,False,This Is How We Party (with Icona Pop),0,https://p.scdn.co/mp3-preview/9df5785e6f25019bc99e1e0daea2b73f3f83abbc?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:02rbSCTm2smTIZ6d8im2NP,0.0572,https://api.spotify.com/v1/audio-analysis/02rbSCTm2smTIZ6d8im2NP,0.802,0.803,1.06e-06,4,0.269,-5.428,1,0.153,118.997,4,https://api.spotify.com/v1/tracks/02rbSCTm2smTIZ6d8im2NP,0.339
Chase The Sun,Chase The Sun,"Hardwell, Dannic, Kelli-Leigh",183281,False,False,https://api.spotify.com/v1/tracks/18vGqlZqxpAwlepFrqIkOG,18vGqlZqxpAwlepFrqIkOG,False,Chase The Sun,0,https://p.scdn.co/mp3-preview/8fee12b9fd744b3e2b2c1730dc21ee8f8b614a70?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:18vGqlZqxpAwlepFrqIkOG,0.0184,https://api.spotify.com/v1/audio-analysis/18vGqlZqxpAwlepFrqIkOG,0.496,0.919,4.03e-05,11,0.338,-3.667,0,0.0497,127.962,4,https://api.spotify.com/v1/tracks/18vGqlZqxpAwlepFrqIkOG,0.177
Chi Chi (feat. Chris Brown),Chi Chi (feat. Chris Brown),"Trey Songz, Chris Brown",139567,False,True,https://api.spotify.com/v1/tracks/0UvBmQOhu4DVXJtdzGc5eV,0UvBmQOhu4DVXJtdzGc5eV,False,Chi Chi (feat. Chris Brown),61,https://p.scdn.co/mp3-preview/65fd3c8ae6eb054ad7a0d02c533ef26342cec8b7?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:0UvBmQOhu4DVXJtdzGc5eV,0.548,https://api.spotify.com/v1/audio-analysis/0UvBmQOhu4DVXJtdzGc5eV,0.744,0.549,0.0,9,0.137,-6.041,0,0.0387,110.004,4,https://api.spotify.com/v1/tracks/0UvBmQOhu4DVXJtdzGc5eV,0.277
Handmade Heaven,Handmade Heaven,MARINA,209890,False,False,https://api.spotify.com/v1/tracks/38Rf2a5GyLjH6I6vP4gB3G,38Rf2a5GyLjH6I6vP4gB3G,False,Handmade Heaven,0,https://p.scdn.co/mp3-preview/34339a1f591ba4949921e360efc108f8391d93a8?cid=ccc3919df33944f38d2102cf87c47c53,True,1,track,spotify:track:38Rf2a5GyLjH6I6vP4gB3G,0.367,https://api.spotify.com/v1/audio-analysis/38Rf2a5GyLjH6I6vP4gB3G,0.379,0.503,0.0,6,0.111,-5.814,0,0.0374,106.999,4,https://api.spotify.com/v1/tracks/38Rf2a5GyLjH6I6vP4gB3G,0.284
