track_name,album,artists,duration_ms,episode,explicit,href,id,is_local,name,popularity,preview_url,track,track_number,type,uri,acousticness,analysis_url,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence
a lot,i am > i was,21 Savage,288624,False,True,https://api.spotify.com/v1/tracks/2t8yVaLvJ0RenpXUIAC52d,2t8yVaLvJ0RenpXUIAC52d,False,a lot,89,https://p.scdn.co/mp3-preview/0ff1fadf009e81e7d80912c2372c7381a49e5863?cid=2d7e45f1d409409e91fbbe0444ec166d,True,1,track,spotify:track:2t8yVaLvJ0RenpXUIAC52d,0.0395,https://api.spotify.com/v1/audio-analysis/2t8yVaLvJ0RenpXUIAC52d,0.837,0.636,0.00125,1,0.342,-7.643,1,0.086,145.972,4,https://api.spotify.com/v1/tracks/2t8yVaLvJ0RenpXUIAC52d,0.274
Saturday Nights,Suncity,Khalid,210666,False,False,https://api.spotify.com/v1/tracks/5kfNriitmkNE8mUbZ7gbq8,5kfNriitmkNE8mUbZ7gbq8,False,Saturday Nights,82,https://p.scdn.co/mp3-preview/8c9de7d1a1da28f8e1da8bad0c7ce58f97da9f71?cid=2d7e45f1d409409e91fbbe0444ec166d,True,3,track,spotify:track:5kfNriitmkNE8mUbZ7gbq8,0.606,https://api.spotify.com/v1/audio-analysis/5kfNriitmkNE8mUbZ7gbq8,0.551,0.44,3.02e-05,10,0.11,-8.559,1,0.0985,167.923,4,https://api.spotify.com/v1/tracks/5kfNriitmkNE8mUbZ7gbq8,0.341
Leave Me Alone,Leave Me Alone,Flipp Dinero,195637,False,True,https://api.spotify.com/v1/tracks/14mHfNsSHN0FbLftyjrV9g,14mHfNsSHN0FbLftyjrV9g,False,Leave Me Alone,91,https://p.scdn.co/mp3-preview/3c065af084df14fa442e78af648172074de3187a?cid=2d7e45f1d409409e91fbbe0444ec166d,True,1,track,spotify:track:14mHfNsSHN0FbLftyjrV9g,0.107,https://api.spotify.com/v1/audio-analysis/14mHfNsSHN0FbLftyjrV9g,0.792,0.743,0.0,7,0.183,-2.806,1,0.0851,150.024,4,https://api.spotify.com/v1/tracks/14mHfNsSHN0FbLftyjrV9g,0.742
Wake Up in the Sky,Evil Genius,"Gucci Mane, Bruno Mars, Kodak Black",203161,False,True,https://api.spotify.com/v1/tracks/2G1tXoGBaEMJ7FKGnkf6ud,2G1tXoGBaEMJ7FKGnkf6ud,False,Wake Up in the Sky,80,https://p.scdn.co/mp3-preview/43ece6da1fe67dc3a5f44ca967fec62e918ce69d?cid=2d7e45f1d409409e91fbbe0444ec166d,True,11,track,spotify:track:2G1tXoGBaEMJ7FKGnkf6ud,0.00381,https://api.spotify.com/v1/audio-analysis/2G1tXoGBaEMJ7FKGnkf6ud,0.8,0.578,0.0,4,0.367,-5.144,0,0.0485,143.01,4,https://api.spotify.com/v1/tracks/2G1tXoGBaEMJ7FKGnkf6ud,0.367
Nights Like This (feat. Ty Dolla $ign),Nights Like This (feat. Ty Dolla $ign),"Kehlani, Ty Dolla $ign",201787,False,False,https://api.spotify.com/v1/tracks/7e4KQkp5ZR1gXCAalRjX6B,7e4KQkp5ZR1gXCAalRjX6B,False,Nights Like This (feat. Ty Dolla $ign),86,https://p.scdn.co/mp3-preview/becd086dc3c299fa16cb92070c91fe8d6e9f9a5e?cid=2d7e45f1d409409e91fbbe0444ec166d,True,1,track,spotify:track:7e4KQkp5ZR1gXCAalRjX6B,0.367,https://api.spotify.com/v1/audio-analysis/7e4KQkp5ZR1gXCAalRjX6B,0.61,0.725,0.0,8,0.154,-5.131,1,0.15,146.163,4,https://api.spotify.com/v1/tracks/7e4KQkp5ZR1gXCAalRjX6B,0.291
Thotiana,Famous Cryp,Blueface,129264,False,True,https://api.spotify.com/v1/tracks/3oh6SCCeLuXhFpEyepla6G,3oh6SCCeLuXhFpEyepla6G,False,Thotiana,83,https://p.scdn.co/mp3-preview/86190aba97b38d4906c5312cad98263f26fbd0a5?cid=2d7e45f1d409409e91fbbe0444ec166d,True,3,track,spotify:track:3oh6SCCeLuXhFpEyepla6G,0.18,https://api.spotify.com/v1/audio-analysis/3oh6SCCeLuXhFpEyepla6G,0.906,0.382,0.0,10,0.113,-12.89,0,0.269,104.025,4,https://api.spotify.com/v1/tracks/3oh6SCCeLuXhFpEyepla6G,0.391
Keanu Reeves,Keanu Reeves,Logic,225986,False,True,https://api.spotify.com/v1/tracks/25F6MWrnFBCXVnpN4n76EK,25F6MWrnFBCXVnpN4n76EK,False,Keanu Reeves,85,,True,1,track,spotify:track:25F6MWrnFBCXVnpN4n76EK,0.0591,https://api.spotify.com/v1/audio-analysis/25F6MWrnFBCXVnpN4n76EK,0.71,0.888,0.0,2,0.134,-6.457,1,0.235,170.193,4,https://api.spotify.com/v1/tracks/25F6MWrnFBCXVnpN4n76EK,0.816
Lucid Dreams,Goodbye & Good Riddance,Juice WRLD,239835,False,True,https://api.spotify.com/v1/tracks/285pBltuF7vW8TeWk8hdRR,285pBltuF7vW8TeWk8hdRR,False,Lucid Dreams,91,,True,3,track,spotify:track:285pBltuF7vW8TeWk8hdRR,0.349,https://api.spotify.com/v1/audio-analysis/285pBltuF7vW8TeWk8hdRR,0.511,0.566,0.0,6,0.34,-7.23,0,0.2,83.903,4,https://api.spotify.com/v1/tracks/285pBltuF7vW8TeWk8hdRR,0.218
SAD!,?,XXXTENTACION,166605,False,True,https://api.spotify.com/v1/tracks/3ee8Jmje8o58CHK66QrVC2,3ee8Jmje8o58CHK66QrVC2,False,SAD!,93,,True,4,track,spotify:track:3ee8Jmje8o58CHK66QrVC2,0.258,https://api.spotify.com/v1/audio-analysis/3ee8Jmje8o58CHK66QrVC2,0.74,0.613,0.00372,8,0.123,-4.88,1,0.145,75.023,4,https://api.spotify.com/v1/tracks/3ee8Jmje8o58CHK66QrVC2,0.473
i'm so tired...,i'm so tired...,"Lauv, Troye Sivan",162582,False,False,https://api.spotify.com/v1/tracks/7COXchtUOMd6uIT6HvmRaI,7COXchtUOMd6uIT6HvmRaI,False,i'm so tired...,83,https://p.scdn.co/mp3-preview/c066ee13f04cb53b3b5033079f06200a44b18cf1?cid=2d7e45f1d409409e91fbbe0444ec166d,True,1,track,spotify:track:7COXchtUOMd6uIT6HvmRaI,0.176,https://api.spotify.com/v1/audio-analysis/7COXchtUOMd6uIT6HvmRaI,0.599,0.733,0.0,11,0.242,-7.058,1,0.203,102.211,4,https://api.spotify.com/v1/tracks/7COXchtUOMd6uIT6HvmRaI,0.534
